"Manufacturer / Distributor","Disc Model","Max Weight (gr)","Diameter (cm)","Height (cm)","Rim Depth (cm)","Inside Rim Diameter (cm)","Rim Thickness (cm)","Rim Depth / Diameter Ratio (%)","Rim Configuration","Flexibility (kg)","Class","Max Weight Vint (gr)","Last Year Production","Certification Number","Approved Date"
"Latitude 64","Culverin","176.0","21.2","2.0","1.1","17.0","2.0","5.2","31.25","11.91","","","","16-04","Jan 15, 2016"
"AquaFlight Discs","Pelican","175.1","21.1","2.0","1.2","17.7","1.7","5.7","29.50","9.19","","","","16-03","Jan 7, 2016"
"Black Zombie Disc Golf","Chainsaw","174.3","21.0","2.2","1.5","19.1","1.0","7.1","66.50","11.00","","","","16-01","Jan 7, 2016"
"AquaFlight Discs","Osprey","174.3","21.0","1.6","1.2","16.4","2.3","5.7","28.00","11.91","","","","16-02","Jan 7, 2016"
"Kastaplast AB","Reko","176.0","21.2","1.8","1.4","19.1","1.0","6.6","61.25","10.43","","","","15-87","Dec 15, 2015"
"Prodigy Disc","A2","174.3","21.0","2.0","1.3","18.2","1.4","6.2","41.75","8.50","","","","15-69","Dec 15, 2015"
"Dynamic Discs","Warrant","180.1","21.7","1.8","1.3","18.8","1.4","6.0","46.50","9.87","","","","15-86","Dec 15, 2015"
"Prodigy Disc","A3","174.3","21.0","2.0","1.3","18.2","1.4","6.2","50.25","8.39","","","","15-70","Dec 15, 2015"
"Innova-Champion Discs","Colossus","175.1","21.1","1.7","1.1","16.1","2.5","5.2","29.75","7.82","","","","15-80","Dec 9, 2015"
"Discmania","PDx (Power Driver)","175.1","21.1","1.9","1.2","16.9","2.1","5.7","30.50","11.23","","","","15-81","Dec 9, 2015"
"Latitude 64","Compass","179.3","21.6","2.3","1.3","19.0","1.3","6.0","42.75","10.77","","","","15-83","Dec 9, 2015"
"Element Discs","Iridium","174.3","21.0","2.1","1.5","19.1","0.9","7.1","66.00","12.02","","","","15-85","Dec 9, 2015"
"Latitude 64","Cutlass","175.1","21.1","1.7","1.2","16.6","2.2","5.7","28.75","10.43","","","","15-82","Dec 9, 2015"
"Las Aves Disc Golf","Wo-Hoo","175.1","21.1","1.8","1.3","18.0","1.5","6.2","37.25","11.11","","","","15-84","Dec 9, 2015"
"Vibram Disc Golf","Vamp","174.3","21.0","1.9","1.2","17.2","1.9","5.7","34.75","6.35","","","","15-78","Dec 2, 2015"
"Vibram Disc Golf","Onyx","174.3","21.0","1.8","1.1","17.3","1.8","5.2","30.75","5.33","","","","15-77","Dec 2, 2015"
"Discraft","Roach (Ace Race 2015)","175.1","21.1","2.0","1.5","18.9","1.1","7.1","58.75","9.07","","","","15-79","Nov 30, 2015"
"Innova-Champion Discs","Commander","180.9","21.8","2.2","1.2","19.0","1.4","5.5","42.00","9.19","","","","15-75","Nov 20, 2015"
"Reptilian Disc Golf","Ptero","176.0","21.2","1.7","1.1","17.6","1.8","5.2","33.25","5.33","","","","15-76","Nov 20, 2015"
"Latitude 64","Bite","187.6","22.6","2.3","1.4","21.2","0.7","6.2","80.25","3.51","","","","15-74","Nov 16, 2015"
"Latitude 64","Gauntlet","176.0","21.2","2.1","1.5","19.0","1.1","7.1","61.75","7.94","","","","15-73","Nov 16, 2015"
"Prodigy Disc","A1","174.3","21.0","2.0","1.3","18.2","1.4","6.2","41.75","8.62","","","","15-68","Nov 16, 2015"
"Ozone Discs","Andro 1","178.5","21.5","1.8","1.3","18.5","1.5","6.0","26.00","12.02","","","","15-71","Nov 16, 2015"
"Innova-Champion Discs","XT V-Aviar","175.1","21.1","2.0","1.4","19.1","1.0","6.6","55.75","8.85","","","","15-72","Nov 16, 2015"
"Discraft","Crank SS","175.1","21.1","1.5","1.1","16.3","2.4","5.2","27.25","9.98","","","","15-67","Sep 17, 2015"
"Reptilian Disc Golf","Velociraptor","174.3","21.0","2.0","1.6","17.0","2.0","5.7","37.00","9.98","","","","15-66","Sep 1, 2015"
"Innova-Champion Discs","Mystere","175.1","21.1","1.6","1.1","16.9","2.1","5.2","31.50","7.26","","","","15-65","Aug 25, 2015"
"Legacy Discs","Enemy","175.1","21.1","1.9","1.2","17.2","1.9","5.7","32.50","9.19","","","","15-64","Aug 25, 2015"
"TOBU Discs","Power Roller (renamed from Kyng Roller)","175.1","21.1","1.4","1.1","17.5","1.8","5.2","29.50","7.94","","","","15-63","Aug 17, 2015"
"Las Aves Disc Golf","Ka-kaa","175.1","21.1","1.6","1.1","16.7","2.2","5.2","26.25","9.41","","","","15-62","Aug 12, 2015"
"Millennium Golf Discs","Moab","180.9","21.8","1.7","1.2","18.4","1.8","5.7","38.25","7.94","","","","15-61","Jul 16, 2015"
"Prodigy Disc","New M1","180.9","21.8","1.9","1.3","19.0","1.4","6.0","36.50","5.78","","","","15-60","Jul 4, 2015"
"Kastaplast AB","Grym","175.1","21.1","1.8","1.1","16.7","2.2","5.2","26.25","9.85","","","","15-59","Jun 26, 2015"
"Discmania","FD3 (Fairway Driver)","176.0","21.2","1.7","1.1","17.2","2.0","5.2","29.75","8.16","","","","15-58","Jun 26, 2015"
"Latitude 64","Raketen","175.1","21.1","1.7","1.1","16.3","2.4","5.2","26.50","10.21","","","","15-57","Jun 10, 2015"
"Legacy Discs","Phenom","176.0","21.2","1.7","1.2","17.7","1.8","5.7","33.25","8.16","","","","15-53","May 28, 2015"
"TOBU Discs","Charge","175.1","21.1","1.5","1.1","17.6","1.7","5.2","27.00","8.39","","","","15-56","May 28, 2015"
"Innova-Champion Discs","Colt","176.0","21.2","1.8","1.3","19.0","1.1","6.1","59.75","7.48","","","","15-52","May 28, 2015"
"Prodiscus","Rocket","176.0","21.2","1.7","1.3","17.3","1.9","6.1","30.00","8.62","","","","15-55","May 28, 2015"
"MVP Disc Sports","Relay","175.1","21.1","1.5","1.2","17.7","1.7","5.7","35.75","8.16","","","","15-54","May 28, 2015"
"Westside Golf Discs","Sampo","176.0","21.2","1.9","1.2","17.0","2.1","5.7","34.75","7.14","","","","15-51","May 20, 2015"
"Gateway Disc Sports","Doggy Style","187.6","22.6","2.2","1.7","21.2","0.7","7.5","82.75","4.76","Vintage Class","151.4","","15-42","May 5, 2015"
"Gateway Disc Sports","Big Dog","187.6","22.6","2.7","2.1","21.2","0.7","9.3","112.75","7.60","","","","15-41","May 5, 2015"
"Latitude 64","Spark","176.0","21.2","1.5","1.1","17.4","1.9","5.2","34.00","9.30","","","","15-49","Apr 29, 2015"
"Discmania","MD (Midrange Driver)","180.9","21.8","2.1","1.4","19.0","1.4","6.4","48.25","8.96","","","","15-48","Apr 29, 2015"
"Disc Golf Association (DGA)","Hellfire","175.1","21.1","1.6","1.2","16.7","2.2","5.7","29.25","10.43","","","","15-40","Apr 20, 2015"
"Vibram Disc Golf","Arch","174.3","21.0","1.9","1.1","17.4","1.8","5.2","34.00","6.35","","","","15-43","Apr 20, 2015"
"Vibram Disc Golf","Valley","174.3","21.0","1.9","1.1","17.4","1.8","5.2","31.25","5.22","","","","15-45","Apr 20, 2015"
"Vibram Disc Golf","Notch","174.3","21.0","2.0","1.2","17.2","1.9","5.7","36.75","7.14","","","","15-44","Apr 20, 2015"
"Fly High Discs","Pure O.G.","180.9","21.8","1.9","1.1","18.8","1.5","5.0","37.75","7.82","","","","15-38","Apr 10, 2015"
"Latitude 64","Maul","177.6","21.4","2.0","1.1","17.7","1.8","5.1","33.00","7.48","","","","15-37","Apr 10, 2015"
"Latitude 64","Macana","175.1","21.1","2.1","1.4","18.9","1.1","6.6","74.00","8.73","","","","15-36","Apr 10, 2015"
"Kastaplast AB","Berg","175.1","21.1","2.0","1.4","19.3","0.9","6.6","87.00","4.31","","","","15-35","Mar 27, 2015"
"Innova-Champion Discs","Hawg","176.0","21.2","2.0","1.3","18.8","1.2","6.1","71.50","8.16","","","","15-34","Mar 27, 2015"
"Dynamic Discs","Evidence","180.1","21.7","1.8","1.2","18.7","1.4","5.5","41.25","7.26","","","","15-32","Mar 27, 2015"
"Dynamic Discs","Breakout","174.3","21.0","1.6","1.1","17.2","1.9","5.2","32.75","8.62","","","","15-30","Mar 27, 2015"
"Dynamic Discs","Justice","176.8","21.3","1.7","1.3","18.3","1.5","6.1","39.50","8.96","","","","15-33","Mar 27, 2015"
"Dynamic Discs","Convict","176.0","21.2","1.4","1.1","17.2","2.0","5.2","34.75","8.85","","","","15-31","Mar 27, 2015"
"Legacy Discs","Prowler","176.0","21.2","2.2","1.4","19.4","0.9","6.6","61.50","6.01","","","","15-28","Feb 25, 2015"
"Prodigy Disc","H3","176.8","21.3","1.7","1.2","17.3","2.0","5.6","34.50","9.30","","","","15-29","Feb 25, 2015"
"Fly High Discs","KGB","180.9","21.8","1.9","1.1","19.0","1.4","5.0","38.50","10.55","","","","15-08","Feb 6, 2015"
"AquaFlight Discs","Peace Frog","174.3","21.0","2.2","1.6","19.1","1.0","7.6","63.75","5.67","","","","15-25","Feb 6, 2015"
"Gateway Disc Sports","Chief OS","176.0","21.2","2.1","1.3","19.2","1.0","6.1","55.75","6.19","","","","15.13","Feb 6, 2015"
"Prodiscus","Razeri","175.1","21.1","1.5","1.1","16.4","2.3","5.2","27.25","9.41","","","","15-27","Feb 6, 2015"
"MVP Disc Sports","Orbital","175.1","21.1","1.4","1.1","16.7","2.2","5.2","28.50","10.77","","","","15-01","Feb 6, 2015"
"Fly High Discs","Train Wreck","174.3","21.0","1.8","1.2","16.4","2.3","5.7","33.25","11.91","","","","15-09","Feb 6, 2015"
"AquaFlight Discs","Swift","174.3","21.0","1.6","1.1","17.1","1.9","5.2","30.00","12.02","","","","15-26","Feb 6, 2015"
"Gateway Disc Sports","Devilhawk","176.0","21.2","2.1","1.3","19.2","1.0","6.1","70.25","7.14","","","","15-14","Feb 6, 2015"
"Fly High Discs","White Widow","174.3","21.0","2.1","1.5","19.0","1.0","7.1","75.50","5.90","","","","15-10","Feb 6, 2015"
"MVP Disc Sports","Phase","175.1","21.1","1.4","1.1","16.7","2.2","5.2","29.50","11.25","","","","15-02","Feb 6, 2015"
"Westside Golf Discs","Swan Reborn (Tuonelan Joutsen1)","175.1","21.1","1.9","1.3","18.9","1.1","6.2","52.50","2.83","","","","15-23","Feb 6, 2015"
"MVP Disc Sports","Photon","175.1","21.1","1.4","1.1","16.6","2.2","5.2","26.75","11.57","","","","15-03","Feb 6, 2015"
"Gateway Disc Sports","Warspear","176.0","21.2","1.8","1.3","19.2","1.0","6.1","77.75","6.92","","","","15-15","Feb 6, 2015"
"MVP Disc Sports","Wave","175.1","21.1","1.4","1.1","16.6","2.2","5.2","29.25","11.00","","","","15-04","Feb 6, 2015"
"Reptilian Disc Golf","Serpent","174.3","21.0","2.2","1.5","19.1","1.0","7.1","86.75","4.88","","","","15-16","Feb 6, 2015"
"Westside Golf Discs","Bard (Laulaja1)","180.1","21.7","1.9","1.3","18.8","1.5","6.0","42.50","7.14","","","","15-11","Feb 6, 2015"
"Disc Golf Association (DGA)","Steady","176.0","21.2","2.0","1.4","19.3","1.0","6.6","56.00","6.92","","","","15-18","Feb 6, 2015"
"Legacy Discs","Hunter","176.0","21.2","1.4","1.4","19.4","0.9","6.6","54.75","5.90","","","","15-19","Feb 6, 2015"
"Innova-Champion Discs","Wombat","180.9","21.8","2.2","1.4","18.9","1.4","6.4","36.25","4.54","","","","15.17","Feb 6, 2015"
"Legacy Discs","Nemesis","176.8","21.3","1.5","1.1","17.3","2.0","5.2","29.00","7.82","","","","15-20","Feb 6, 2015"
"Westside Golf Discs","Seer (Ennustaja1)","176.0","21.2","1.8","1.1","17.7","1.8","5.2","42.50","7.60","","","","15-12","Feb 6, 2015"
"Fly High Discs","AK-47","174.3","21.0","2.2","1.5","19.0","1.0","7.1","59.25","7.48","","","","15-05","Feb 6, 2015"
"Fly High Discs","Diesel","177.6","21.4","1.6","1.1","16.9","2.2","5.1","33.25","11.57","","","","15-06","Feb 6, 2015"
"AquaFlight Discs","Dragonfly","174.3","21.0","1.6","1.1","19.1","1.4","5.2","43.00","8.05","","","","15-24","Feb 6, 2015"
"Fly High Discs","Jack the Ripper","174.3","21.0","1.7","1.1","17.1","1.9","5.2","33.50","10.66","","","","15-07","Feb 6, 2015"
"RPM Discs/Disc Golf Aotearoa","Kahu (DGD2)","174.3","21.0","1.5","1.1","16.2","2.4","5.2","31.50","10.87","","","","15-21","Jan 28, 2015"
"Innova-Champion Discs","VRoc","180.9","21.8","2.0","1.3","19.0","1.4","6.0","43.00","9.30","","","","14-99","Dec 30, 2014"
"CHING Sports","Supreme Oracle","176.8","21.3","1.7","1.1","18.6","1.4","5.2","45.00","8.16","","","","14-98","Dec 23, 2014"
"Latitude 64","Ballista","175.1","21.1","1.7","1.1","16.3","2.4","5.2","26.00","8.05","","","","14-93","Dec 19, 2014"
"Axiom Discs","Virus","176.0","21.2","1.4","1.1","17.0","2.0","5.2","29.50","7.94","","","","14-96","Dec 19, 2014"
"Axiom Discs","Wrath","175.1","21.1","1.4","1.1","17.0","2.0","5.2","30.25","8.05","","","","14-97","Dec 19, 2014"
"Axiom Discs","Fireball","175.1","21.1","1.4","1.1","17.1","2.0","5.2","29.50","9.07","","","","14-94","Dec 19, 2014"
"Axiom Discs","Insanity","175.1","21.1","1.4","1.1","17.0","2.0","5.2","27.00","8.28","","","","14-95","Dec 19, 2014"
"Reptilian Disc Golf","Scale","174.3","21.0","2.2","1.5","19.0","1.0","7.1","68.00","10.43","","","","14-92","Dec 18, 2014"
"MVP Disc Sports","Atom","175.1","21.1","1.9","1.4","18.8","1.1","6.6","60.75","7.82","","","","14-89","Dec 7, 2014"
"Innova-Champion Discs","Whale","175.1","21.1","2.0","1.5","19.0","1.0","7.1","75.25","8.50","","","","14-90","Dec 7, 2014"
"Prodiscus","Titan","176.0","21.2","1.6","1.2","17.3","1.9","5.7","32.75","9.53","","","","14-88","Nov 13, 2014"
"Daredevil Discs","Buffalo","174.3","21.0","1.6","1.2","17.0","2.0","5.7","34.00","8.85","","","","14-84","Oct 31, 2014"
"Daredevil Discs","Mammoth","175.1","21.1","1.7","1.2","17.1","2.0","5.7","29.25","5.22","","","","14-85","Oct 31, 2014"
"Daredevil Discs","Ogopogo","175.1","21.1","1.5","1.2","17.1","2.0","5.7","36.75","2.27","","","","14-86","Oct 31, 2014"
"Daredevil Discs","Sabertooth","174.3","21.0","1.8","1.2","17.0","2.0","5.7","29.00","7.94","","","","14-87","Oct 31, 2014"
"Discraft","Heat (Ace Race 2014)","175.1","21.1","2.1","1.2","17.2","1.9","5.7","29.50","11.00","","","","14-83","Oct 23, 2014"
"Discmania","P1x (Beaded Putter)","176.0","21.2","2.0","1.4","19.0","1.0","6.6","68.50","7.71","","","","14-81","Oct 21, 2014"
"Prodiscus","Sparta","176.8","21.3","2.0","1.6","19.2","1.0","7.5","59.75","5.78","","","","14-82","Oct 21, 2014"
"Skyquest Discs","Chainzilla","176.0","21.2","2.2","1.7","19.2","1.0","8.0","56.00","4.42","","","","14-80","Oct 17, 2014"
"Kastaplast AB","Kaxe Z","175.1","21.1","1.9","1.3","18.0","1.5","6.2","34.00","8.50","","","","14-79","Oct 15, 2014"
"HOLE19 sarl","All in One","176.8","21.3","1.9","1.4","19.4","0.9","6.6","59.25","10.66","","","","14-78","Oct 1, 2014"
"Prodigy Disc","H2","176.8","21.3","1.7","1.2","17.5","1.9","5.6","30.75","8.05","","","","14-76","Sep 26, 2014"
"Prodigy Disc","H4","176.8","21.3","1.8","1.2","17.4","1.9","5.6","41.75","8.73","","","","14-77","Sep 26, 2014"
"Axiom Discs","Proxy","174.3","21.0","1.8","1.5","18.8","1.1","7.1","63.50","6.58","","","","14-74","Sep 24, 2014"
"Axiom Discs","Theory","178.5","21.5","1.9","1.3","19.1","1.2","6.0","50.00","6.35","","","","14-75","Sep 24, 2014"
"Obsidian Discs Oy","Splinter","176.8","21.3","2.4","1.5","19.2","1.0","7.0","71.25","7.82","","","","14-72","Sep 17, 2014"
"Legacy Discs","Outlaw (retooled)","175.1","21.1","1.6","1.1","16.4","2.3","5.2","29.00","10.43","","","","14-73","Sep 17, 2014"
"Innova-Champion Discs","Savant","175.1","21.1","1.6","1.1","17.2","1.9","5.2","36.50","6.24","","","","14-71","Sep 5, 2014"
"Discmania","CD2 (Control Driver)","175.1","21.1","1.9","1.1","17.2","1.9","5.2","30.00","9.75","","","","14-70","Sep 5, 2014"
"Prodigy Disc","H1","176.8","21.3","1.8","1.2","17.4","1.9","5.6","31.75","8.28","","","","14-67","Aug 26, 2014"
"Essential Discs","Honey","176.0","21.2","1.7","1.3","18.8","1.2","6.1","47.75","11.45","","","","14-66","Aug 26, 2014"
"Yikun Discs","Jiao (狡)","176.0","21.2","1.6","1.1","18.0","1.6","5.2","32.00","5.56","","","","14-68","Aug 26, 2014"
"Yikun Discs","Wei (精卫)","175.1","21.1","1.7","1.1","17.1","2.0","5.2","30.25","10.55","","","","14-69","Aug 26, 2014"
"Vibram Disc Golf","Solace","175.1","21.1","1.7","1.1","16.2","2.4","5.2","27.00","9.30","","","","14-62","Aug 5, 2014"
"Millennium Golf Discs","Veteran","175.1","21.1","1.8","1.2","17.5","1.8","5.7","29.00","8.73","","","","14-64","Aug 5, 2014"
"Innova-Champion Discs","Thunderbird","176.0","21.2","1.6","1.1","17.3","1.9","5.2","31.00","6.46","","","","14-63","Aug 5, 2014"
"Salient Discs","Touch","176.0","21.2","2.0","1.4","17.8","1.2","6.6","54.75","5.10","","","","14-61","Jul 20, 2014"
"Paradigm Disc Golf","Bird-Dog","174.3","21.0","2.4","1.5","19.0","1.0","7.1","64.00","7.94","","","","14-59","Jul 19, 2014"
"Paradigm Disc Golf","Terrapin","180.1","21.7","1.9","1.3","19.3","1.2","6.0","44.00","2.95","","","","14-60","Jul 19, 2014"
"Discraft","Buzzz OS","180.1","21.7","1.7","1.2","19.1","1.3","5.5","45.75","8.28","","","","14-58","Jul 19, 2014"
"Dynamic Discs","Felon","176.0","21.2","1.8","1.1","17.2","2.0","5.2","31.50","9.30","","","","13-56","Jul 14, 2014"
"CHING Sports","Supreme Legacy","176.8","21.3","1.6","1.1","18.7","1.3","5.2","38.75","3.63","","","","14-55","Jul 14, 2014"
"Dynamic Discs","Freedom","176.0","21.2","1.6","1.1","16.3","2.4","5.2","27.25","8.73","","","","13-57","Jul 14, 2014"
"Axiom Discs","Clash","175.1","21.1","1.4","1.1","17.5","1.8","5.2","33.50","9.41","","","","14-54","Jun 10, 2014"
"Gateway Disc Sports","Shaman","176.0","21.2","1.8","1.3","19.2","1.0","6.1","65.75","8.39","","","","14-53","Jun 9, 2014"
"Latitude 64","Missilen","177.6","21.4","1.7","1.1","16.4","2.5","5.1","28.00","9.07","","","","14-51","May 22, 2014"
"Salient Discs","Backdraft","176.8","21.3","2.0","1.3","16.4","2.4","6.1","30.50","8.05","","","","14-52","May 22, 2014"
"Kastaplast AB","Kaxe","174.3","21.0","1.9","1.3","18.0","1.5","6.2","34.00","9.30","","","","14-48","May 19, 2014"
"Gateway Disc Sports","Assassin (retooled)","174.3","21.0","1.9","1.1","17.1","1.9","5.2","34.50","8.62","","","","14-49","May 19, 2014"
"Gateway Disc Sports","Chief (retooled)","174.3","21.1","1.7","1.3","19.2","1.0","6.2","60.50","3.63","","","","14-50","May 19, 2014"
"Yikun Discs","Da'e (大鹗)","174.3","21.0","1.7","1.1","16.2","2.4","5.2","27.50","11.57","","","","14-44","May 13, 2014"
"UB Disc Golf - Hand Candy","Lex","177.6","21.4","2.1","1.6","19.6","0.9","7.5","77.00","4.54","","","","14-43","May 13, 2014"
"Yikun Discs","Gou (天狗)","176.8","21.3","1.8","1.2","17.4","1.9","5.6","33.75","10.87","","","","14-45","May 13, 2014"
"Yikun Discs","Hu (九尾狐)","176.0","21.2","1.8","1.1","17.4","1.9","5.2","31.75","11.34","","","","14-46","May 13, 2014"
"Yikun Discs","Jun (鵕鸟)","175.1","21.1","2.0","1.2","16.8","2.1","5.7","29.75","11.91","","","","14-47","May 13, 2014"
"Salient Discs","Vein","176.8","21.3","1.9","1.3","17.4","1.8","6.1","27.75","7.94","","","","14-39","May 13, 2014"
"UB Disc Golf - Hand Candy","Monstrum","175.1","21.1","1.5","1.3","16.4","2.4","6.2","31.25","7.26","","","","14-38","May 4, 2014"
"Prodigy Disc","X1","174.3","21.0","1.5","1.2","16.3","2.3","5.7","27.50","11.79","","","","14-37","May 4, 2014"
"Latitude 64","Claymore","180.1","21.7","1.9","1.2","18.9","1.4","5.5","42.50","8.39","","","","14-35","Apr 13, 2014"
"Latitude 64","Dagger","175.1","21.1","2.1","1.5","19.1","1.0","7.1","75.25","4.65","","","","14-36","Apr 13, 2014"
"Dynamic Discs","Enforcer","175.1","21.1","1.8","1.1","16.7","2.2","5.2","27.00","11.00","","","","14-34","Apr 7, 2014"
"Vibram Disc Golf","Four20","174.3","21.0","1.7","1.1","16.2","2.4","5.2","26.00","6.69","","","","14-32","Mar 31, 2014"
"Disc Golf Association (DGA)","Torrent","174.3","21.0","1.5","1.2","16.1","2.4","5.7","27.25","9.75","","","","14-29","Mar 25, 2014"
"Prodigy Disc","PA3","174.3","21.0","2.0","1.4","18.9","1.0","6.7","66.00","9.41","","","","14-30","Mar 25, 2014"
"Discmania","FD2 (Fairway Driver)","176.0","21.2","2.0","1.1","17.5","1.8","5.2","37.25","11.57","","","","14-22","Mar 24, 2014"
"Latitude 64","Scythe","175.1","21.1","1.5","1.1","16.6","2.2","5.2","29.00","10.66","","","","14-23","Mar 24, 2014"
"Westside Golf Discs","Tursas VIP Air (VIP Air Tursas1)","179.3","21.6","1.7","1.3","18.8","1.4","6.0","42.50","8.73","","","","14-27","Mar 24, 2014"
"Westside Golf Discs","Northman VIP Air (VIP Air Pohjan Poika1)","177.6","21.4","2.0","1.1","17.4","2.0","5.1","28.25","8.96","","","","14-25","Mar 24, 2014"
"Westside Golf Discs","Boatman VIP Air (VIP Air Tuonelan Lautturi1)","177.6","21.4","1.9","1.3","17.0","2.2","6.1","29.50","10.66","","","","14-24","Mar 24, 2014"
"Westside Golf Discs","Underworld VIP Air (VIP Air Manala1)","176.8","21.3","1.6","1.2","17.4","1.9","5.6","30.25","8.85","","","","14-28","Mar 24, 2014"
"Westside Golf Discs","Shield (Kilpi1)","175.1","21.1","2.5","1.4","19.0","1.0","6.6","67.00","5.33","","","","14-26","Mar 24, 2014"
"Axiom Discs","Inspire","175.1","21.1","1.5","1.2","17.4","1.8","5.7","32.75","9.87","","","","14-20","Mar 22, 2014"
"Dynamic Discs","Thief","176.0","21.2","1.8","1.1","17.3","1.9","5.2","34.25","9.19","","","","14-21","Mar 22, 2014"
"Yikun Discs","Gui (旋龟)","175.1","21.1","1.8","1.5","19.1","1.0","7.1","59.00","8.39","","","","14-18","Mar 9, 2014"
"Axiom Discs","Crave","175.1","21.1","1.4","1.2","17.4","1.8","5.7","27.75","9.98","","","","14-16","Mar 9, 2014"
"Yikun Discs","Wings (翼)","176.0","21.2","1.8","1.2","19.2","1.0","5.7","56.75","7.48","","","","14-19","Mar 9, 2014"
"Yikun Discs","Claws (爪)","176.0","21.2","2.0","1.7","19.4","0.9","8.0","85.00","7.14","","","","14-17","Mar 9, 2014"
"Legacy Discs","Outlaw","174.3","21.0","1.6","1.1","16.4","2.3","5.2","29.00","12.13","","","","14-15","Feb 25, 2014"
"MVP Disc Sports","Tesla","174.3","21.0","1.4","1.2","17.0","2.0","5.7","26.50","11.68","","","","14-14","Feb 22, 2014"
"Deity Discs","Chimera","175.1","21.1","1.7","1.2","16.7","2.2","5.7","27.50","7.26","","","","14-11","Feb 22, 2014"
"MVP Disc Sports","Impulse","174.3","21.0","1.4","1.2","17.0","2.0","5.7","28.75","10.89","","","","14-12","Feb 22, 2014"
"MVP Disc Sports","Motion","174.3","21.0","1.4","1.2","17.0","2.0","5.7","30.25","12.02","","","","14-13","Feb 22, 2014"
"Innova-Champion Discs","Daedalus","175.1","21.1","1.5","1.2","16.4","2.3","5.7","26.25","8.05","","","","14-09","Feb 17, 2014"
"Dynamic Discs","Witness","175.1","21.1","1.8","1.1","17.3","1.9","5.2","32.25","8.85","","","","14-10","Feb 17, 2014"
"MVP Disc Sports","Inertia","175.1","21.1","1.4","1.2","17.1","2.0","5.7","27.25","11.91","","","","14-07","Feb 10, 2014"
"MVP Disc Sports","Switch","175.1","21.1","1.4","1.2","17.5","1.8","5.7","31.00","10.66","","","","14-08","Feb 10, 2014"
"Paradigm Disc Golf","Tiger","175.1","21.1","1.7","1.1","17.5","1.8","5.2","31.25","7.60","","","","14-06","Jan 19, 2014"
"Kastaplast AB","Rask (new)","176.0","21.2","1.6","1.1","16.8","2.2","5.2","26.50","9.75","","","","14-05","Jan 12, 2014"
"Axiom Discs","Alias","178.5","21.5","1.8","1.2","19.1","1.2","5.6","61.50","8.96","","","","14-03","Jan 12, 2014"
"Axiom Discs","Envy","174.3","21.0","1.8","1.4","18.8","1.1","6.7","52.00","8.73","","","","14-04","Jan 12, 2014"
"Millennium Golf Discs","Aries","175.1","21.1","1.6","1.1","16.9","2.1","5.2","28.00","10.89","","","","14-01","Jan 6, 2014"
"Prodigy Disc","M5","180.1","21.7","2.2","1.3","19.0","1.3","6.0","46.50","8.85","","","","14-02","Jan 6, 2014"
"Latitude 64","Jade","174.3","21.0","1.8","1.1","17.3","1.9","5.2","30.00","8.85","","","","13-80","Dec 20, 2013"
"Salient Discs","Antidote","178.5","21.5","2.0","1.3","18.9","1.3","6.0","43.25","6.69","","","","13-75","Dec 16, 2013"
"Discraft","Mantis (Ace Race 2013)","176.0","21.2","1.9","1.1","17.4","1.9","5.2","28.00","10.66","","","","13-74","Dec 1, 2013"
"MVP Disc Sports","Servo","175.1","21.1","1.4","1.2","17.5","1.8","5.7","32.00","11.45","","","","13-73","Dec 1, 2013"
"Prodigy Disc","F5","176.8","21.3","1.9","1.2","17.7","1.8","5.6","35.75","8.50","","","","13-71","Nov 1, 2013"
"Yikun Discs","Yao (文鳐鱼)","179.3","21.6","1.9","1.4","18.8","1.4","6.5","39.75","12.02","","","","13-72","Nov 1, 2013"
"Westside Golf Discs","Harp (Kannel1)","176.0","21.2","1.6","1.4","19.0","1.1","6.6","65.00","11.79","","","","13-67","Oct 28, 2013"
"Westside Golf Discs","Sorcerer (Tietäjä1)","176.0","21.2","1.6","1.1","16.7","2.3","5.2","32.25","9.64","","","","13-69","Oct 28, 2013"
"Westside Golf Discs","Hatchet (Sotakipves1)","176.8","21.3","2.0","1.2","17.6","1.9","5.6","27.00","8.96","","","","13-68","Oct 28, 2013"
"Westside Golf Discs","World (Maailma1)","176.0","21.2","1.6","1.2","16.3","2.4","5.7","28.00","10.55","","","","13-70","Oct 28, 2013"
"Innova-Champion Discs","Foxbat","180.1","21.7","2.2","1.4","19.0","1.4","6.5","33.50","7.37","","","","13-65","Oct 22, 2013"
"Latitude 64","Saint Pro","176.0","21.2","2.0","1.2","17.5","1.8","5.7","33.00","8.16","","","","13-65","Oct 17, 2013"
"Prodigy Disc","D5 V2 (retooled D5)","176.0","21.2","1.7","1.2","16.4","2.4","5.7","29.75","10.77","","","","13-63","Oct 14, 2013"
"Dynamic Discs","Warden","176.0","21.2","2.0","1.5","19.1","1.1","7.1","66.25","4.65","","","","13-64","Oct 14, 2013"
"Legacy Discs","Bandit","176.8","21.3","1.5","1.1","17.3","2.0","5.2","30.75","7.60","","","","13-60","Sep 25, 2013"
"Legacy Discs","Gauge","180.9","21.8","2.2","1.4","19.4","1.2","6.4","48.25","7.03","","","","13-61","Sep 25, 2013"
"Legacy Discs","Mongoose","176.8","21.3","1.5","1.1","17.3","2.0","5.2","30.50","7.82","","","","13-62","Sep 25, 2013"
"MVP Disc Sports","Resistor","175.1","21.1","1.5","1.2","17.5","1.7","5.7","31.75","10.21","","","","13-59","Sep 23, 2013"
